#noutput  nstep     sim_time        sim_dt          
#         7         79   8.00000000e-02   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   0.00000000e+00
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   0.00000000e+00
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   4.44089210e-17
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   2.88657986e-16
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   1.79856130e-15
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   9.89208715e-15
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   5.06927833e-14
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   2.48057130e-13
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   1.15749632e-12
        10   1.05000000e-01   1.00000000e+00   1.00000000e+00   5.15414378e-12
        11   1.15000000e-01   1.00000000e+00   1.00000000e+00   2.19130269e-11
        12   1.25000000e-01   1.00000000e+00   1.00000000e+00   8.89767371e-11
        13   1.35000000e-01   1.00000000e+00   1.00000000e+00   3.45118667e-10
        14   1.45000000e-01   9.99999999e-01   9.99999998e-01   1.27898118e-09
        15   1.55000000e-01   9.99999996e-01   9.99999995e-01   4.52930625e-09
        16   1.65000000e-01   9.99999987e-01   9.99999982e-01   1.53294073e-08
        17   1.75000000e-01   9.99999958e-01   9.99999941e-01   4.95890890e-08
        18   1.85000000e-01   9.99999872e-01   9.99999817e-01   1.53335399e-07
        19   1.95000000e-01   9.99999621e-01   9.99999457e-01   4.53222010e-07
        20   2.05000000e-01   9.99998934e-01   9.99998461e-01   1.28055366e-06
        21   2.15000000e-01   9.99997130e-01   9.99995826e-01   3.45859016e-06
        22   2.25000000e-01   9.99992615e-01   9.99989181e-01   8.92900551e-06
        23   2.35000000e-01   9.99981834e-01   9.99973191e-01   2.20339300e-05
        24   2.45000000e-01   9.99957288e-01   9.99936509e-01   5.19691381e-05
        25   2.55000000e-01   9.99904006e-01   9.99856288e-01   1.17151198e-04
        26   2.65000000e-01   9.99793777e-01   9.99689118e-01   2.52400805e-04
        27   2.75000000e-01   9.99576486e-01   9.99357268e-01   5.19754469e-04
        28   2.85000000e-01   9.99168396e-01   9.98729916e-01   1.02313931e-03
        29   2.95000000e-01   9.98438184e-01   9.97600596e-01   1.92590977e-03
        30   3.05000000e-01   9.97192987e-01   9.95664620e-01   3.46846374e-03
        31   3.15000000e-01   9.95168149e-01   9.92502729e-01   5.98142311e-03
        32   3.25000000e-01   9.92025026e-01   9.87578568e-01   9.88919224e-03
        33   3.35000000e-01   9.87360361e-01   9.80256255e-01   1.57000267e-02
        34   3.45000000e-01   9.80728143e-01   9.69839824e-01   2.39821275e-02
        35   3.55000000e-01   9.71671440e-01   9.55630102e-01   3.53295537e-02
        36   3.65000000e-01   9.59758759e-01   9.36988963e-01   5.03250088e-02
        37   3.75000000e-01   9.44618516e-01   9.13398459e-01   6.95073834e-02
        38   3.85000000e-01   9.25966378e-01   8.84503645e-01   9.33502267e-02
        39   3.95000000e-01   9.03622959e-01   8.50132093e-01   1.22254215e-01
        40   4.05000000e-01   8.77522287e-01   8.10288061e-01   1.56553580e-01
        41   4.15000000e-01   8.47713625e-01   7.65123515e-01   1.96534274e-01
        42   4.25000000e-01   8.14360076e-01   7.14890918e-01   2.42460452e-01
        43   4.35000000e-01   7.77736946e-01   6.59883996e-01   2.94605327e-01
        44   4.45000000e-01   7.38231364e-01   6.00373272e-01   3.53281723e-01
        45   4.55000000e-01   6.96342025e-01   5.36544072e-01   4.18866290e-01
        46   4.65000000e-01   6.52672816e-01   4.68446125e-01   4.91811046e-01
        47   4.75000000e-01   6.07901629e-01   3.95957366e-01   5.72654711e-01
        48   4.85000000e-01   5.62674169e-01   3.18770832e-01   6.62263495e-01
        49   4.95000000e-01   5.17148625e-01   2.36493158e-01   7.64578178e-01
        50   5.05000000e-01   4.66194063e-01   9.94016749e-02   8.82937058e-01
        51   5.15000000e-01   3.52041667e-01   7.43618377e-02   1.19892759e+00
        52   5.25000000e-01   3.80256402e-01   2.47993675e-02   1.14176683e+00
        53   5.35000000e-01   5.48826157e-01   3.88646260e-01   5.72027818e-01
        54   5.45000000e-01   3.36430552e-01   9.05694416e-02   1.18783082e+00
        55   5.55000000e-01   4.86539286e-01   3.49430543e-01   4.97926657e-01
        56   5.65000000e-01   3.19220850e-01   5.20264806e-02   1.13339251e+00
        57   5.75000000e-01   3.82648255e-01   4.26936362e-01   4.05501109e-01
        58   5.85000000e-01   2.58471247e-01   1.88826865e-02   8.13138084e-01
        59   5.95000000e-01   2.48659230e-01   4.34996665e-01   2.54773451e-01
        60   6.05000000e-01   1.96248352e-01   1.84010856e-01   6.66560437e-01
        61   6.15000000e-01   1.81322332e-01   3.97483042e-01   3.44307261e-01
        62   6.25000000e-01   1.54945421e-01   1.47701787e-01   5.22460508e-01
        63   6.35000000e-01   1.45466502e-01   3.17668975e-01   4.10555639e-01
        64   6.45000000e-01   1.35507652e-01   2.79985993e-01   4.96927143e-01
