#noutput  nstep     sim_time        sim_dt          
#        11        119   1.20000000e-01   1.00000000e-03
#i        x1                          rho             prs             vx1
         0   5.00000000e-03   1.00000000e+00   1.00000000e+00   4.44089210e-17
         1   1.50000000e-02   1.00000000e+00   1.00000000e+00   4.10782519e-16
         2   2.50000000e-02   1.00000000e+00   1.00000000e+00   2.33146835e-15
         3   3.50000000e-02   1.00000000e+00   1.00000000e+00   1.18016708e-14
         4   4.50000000e-02   1.00000000e+00   1.00000000e+00   5.69100322e-14
         5   5.50000000e-02   1.00000000e+00   1.00000000e+00   2.64799294e-13
         6   6.50000000e-02   1.00000000e+00   1.00000000e+00   1.18866028e-12
         7   7.50000000e-02   1.00000000e+00   1.00000000e+00   5.14353005e-12
         8   8.50000000e-02   1.00000000e+00   1.00000000e+00   2.14537610e-11
         9   9.50000000e-02   1.00000000e+00   1.00000000e+00   8.62223626e-11
        10   1.05000000e-01   1.00000000e+00   1.00000000e+00   3.33751216e-10
        11   1.15000000e-01   9.99999999e-01   9.99999998e-01   1.24368118e-09
        12   1.25000000e-01   9.99999997e-01   9.99999994e-01   4.45919420e-09
        13   1.35000000e-01   9.99999988e-01   9.99999979e-01   1.53753784e-08
        14   1.45000000e-01   9.99999962e-01   9.99999932e-01   5.09518302e-08
        15   1.55000000e-01   9.99999878e-01   9.99999782e-01   1.62173976e-07
        16   1.65000000e-01   9.99999629e-01   9.99999332e-01   4.95440796e-07
        17   1.75000000e-01   9.99998914e-01   9.99998037e-01   1.45168015e-06
        18   1.85000000e-01   9.99996959e-01   9.99994473e-01   4.07637507e-06
        19   1.95000000e-01   9.99991844e-01   9.99985093e-01   1.09605359e-05
        20   2.05000000e-01   9.99979075e-01   9.99961537e-01   2.81934960e-05
        21   2.15000000e-01   9.99948688e-01   9.99905144e-01   6.93117115e-05
        22   2.25000000e-01   9.99879865e-01   9.99776639e-01   1.62692196e-04
        23   2.35000000e-01   9.99731718e-01   9.99498334e-01   3.64235848e-04
        24   2.45000000e-01   9.99429116e-01   9.98926420e-01   7.76997782e-04
        25   2.55000000e-01   9.98843505e-01   9.97813011e-01   1.57793218e-03
        26   2.65000000e-01   9.97771233e-01   9.95762500e-01   3.04854309e-03
        27   2.75000000e-01   9.95915545e-01   9.92194224e-01   5.60133893e-03
        28   2.85000000e-01   9.92881692e-01   9.86330234e-01   9.78975470e-03
        29   2.95000000e-01   9.88194627e-01   9.77227711e-01   1.62893450e-02
        30   3.05000000e-01   9.81343303e-01   9.63864996e-01   2.58453885e-02
        31   3.15000000e-01   9.71845392e-01   9.45269693e-01   3.91950642e-02
        32   3.25000000e-01   9.59316314e-01   9.20656543e-01   5.69843901e-02
        33   3.35000000e-01   9.43523081e-01   8.89534686e-01   7.97036128e-02
        34   3.45000000e-01   9.24409031e-01   8.51754400e-01   1.07657434e-01
        35   3.55000000e-01   9.02086820e-01   8.07486121e-01   1.40973092e-01
        36   3.65000000e-01   8.76807517e-01   7.57146804e-01   1.79637320e-01
        37   3.75000000e-01   8.48919021e-01   7.01300778e-01   2.23547089e-01
        38   3.85000000e-01   8.18826538e-01   6.40562812e-01   2.72558768e-01
        39   3.95000000e-01   7.86964181e-01   5.75524807e-01   3.26522664e-01
        40   4.05000000e-01   7.53782268e-01   5.06720467e-01   3.85291721e-01
        41   4.15000000e-01   7.19751601e-01   4.34638805e-01   4.48691996e-01
        42   4.25000000e-01   6.85383884e-01   3.59799054e-01   5.16437524e-01
        43   4.35000000e-01   6.51263655e-01   2.82901418e-01   5.87968984e-01
        44   4.45000000e-01   6.18031450e-01   2.04953829e-01   6.62307415e-01
        45   4.55000000e-01   5.82705157e-01   1.19003908e-01   7.47723114e-01
        46   4.65000000e-01   5.33438298e-01   1.00000000e-10   8.84895557e-01
        47   4.75000000e-01   4.89562278e-01   1.00000000e-10   9.39601249e-01
        48   4.85000000e-01   4.78350976e-01   1.00000000e-10   9.60327646e-01
        49   4.95000000e-01   4.56227957e-01   1.00000000e-10   9.81242200e-01
        50   5.05000000e-01   4.40357388e-01   6.54569118e-03   9.73911987e-01
        51   5.15000000e-01   6.66308516e-01   1.44754799e+00  -7.11735640e-02
        52   5.25000000e-01   4.35465065e-01   1.69721736e-01   7.84352021e-01
        53   5.35000000e-01   3.52615563e-01   1.00000000e-10   1.00924645e+00
